2016-11-07,16
2016-11-08,14
2016-11-09,14
2016-11-10,15
2016-11-11,20
2016-11-12,24
2016-11-13,8
2016-11-14,15
2016-11-15,17
2016-11-16,9
2016-11-17,17
2016-11-18,13
2016-11-19,19
2016-11-20,8
2016-11-21,14
2016-11-22,18
2016-11-23,24
2016-11-24,16
2016-11-25,11
2016-11-26,13
2016-11-27,10
2016-11-28,16
2016-11-29,11
2016-11-30,22
2016-12-01,15
2016-12-02,18
2016-12-03,11
2016-12-04,14
2016-12-05,34
2016-12-06,10
2016-12-07,13
2016-12-08,21
2016-12-09,35
2016-12-10,15
2016-12-11,6
2016-12-12,23
2016-12-13,22
2016-12-14,19
2016-12-15,20
2016-12-16,13
2016-12-17,21
2016-12-18,10
2016-12-19,11
2016-12-20,11
2016-12-21,16
2016-12-22,12
2016-12-23,15
2016-12-24,8
2016-12-25,1
2016-12-26,24
2016-12-27,19
2016-12-28,22
2016-12-29,13
2016-12-30,12
2016-12-31,16
2017-01-01,2
2017-01-02,16
2017-01-03,20
2017-01-04,12
2017-01-05,11
2017-01-06,22
2017-01-07,20
2017-01-08,16
2017-01-09,17
2017-01-10,97
2017-01-11,1
2017-01-12,23
2017-01-13,100
2017-01-14,18
2017-01-15,13
2017-01-16,21
2017-01-17,24
2017-01-18,16
2017-01-19,18
2017-01-20,22
2017-01-21,18
2017-01-22,11
2017-01-23,24
2017-01-24,22
2017-01-25,20
2017-01-26,22
2017-01-27,26
2017-01-28,1
2017-01-29,1
2017-01-30,5
2017-01-31,31
